ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor
300750.SZ,宁德时代,新能源汽车,2025-01-06,244.33,243.08,246.33,239.33,172891,4433101113.0,2.87,-0.36,-0.88,0.44,243.96,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-07,229.33,235.78,238.33,227.41,401036,9934923663.0,4.49,-3.0,-7.3,1.03,243.08,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-08,232.32,231.67,234.64,229.65,271858,6681628785.0,2.12,-1.74,-4.11,0.7,235.78,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-09,227.68,233.66,236.58,227.49,169329,4168600175.0,3.92,0.86,1.99,0.43,231.67,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-10,232.83,232.33,236.28,231.01,147294,3643092329.0,2.26,-0.57,-1.33,0.38,233.66,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-13,229.83,233.24,236.33,228.33,180922,4467775090.0,3.44,0.39,0.91,0.46,232.33,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-14,234.04,242.53,243.33,231.54,202467,5108567634.0,5.05,3.98,9.29,0.52,233.24,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-15,242.53,237.2,242.73,236.0,150627,3798504600.0,2.77,-2.2,-5.33,0.39,242.53,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-16,238.33,236.26,240.93,234.59,161884,4056598313.0,2.67,-0.4,-0.94,0.41,237.2,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-17,234.83,237.83,239.83,234.41,111066,2786220135.0,2.29,0.66,1.57,0.28,236.26,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-20,242.83,251.85,253.94,242.64,342835,9048642227.0,4.75,5.89,14.02,0.88,237.83,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-21,254.83,250.51,255.09,249.55,138933,3681448144.0,2.2,-0.53,-1.34,0.36,251.85,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-22,248.33,244.33,251.23,240.54,250407,6440345376.0,4.27,-2.47,-6.18,0.64,250.51,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-23,246.18,243.83,248.83,243.31,165537,4291744662.0,2.26,-0.2,-0.5,0.42,244.33,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-24,243.57,248.18,252.34,243.57,224398,5876198259.0,3.6,1.78,4.35,0.58,243.83,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-27,248.19,244.56,250.53,244.56,171026,4460049868.0,2.41,-1.46,-3.62,0.44,248.18,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-05,247.56,239.68,249.56,238.61,240481,6141794779.0,4.48,-2.0,-4.88,0.62,244.56,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-06,238.56,240.66,241.05,236.76,248961,6261792979.0,1.79,0.41,0.98,0.64,239.68,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-07,244.56,248.84,250.12,239.18,344413,8922582684.0,4.55,3.4,8.18,0.88,240.66,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-10,248.84,246.01,249.03,242.74,229267,5928297100.0,2.53,-1.14,-2.83,0.59,248.84,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-11,248.0,239.36,248.06,238.62,247920,6268157349.0,3.84,-2.7,-6.65,0.64,246.01,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-12,237.57,242.86,243.56,234.64,273822,6902713445.0,3.73,1.46,3.5,0.7,239.36,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-13,243.55,248.95,251.55,242.66,375350,9803005760.0,3.66,2.51,6.09,0.96,242.86,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-14,249.09,257.27,260.56,249.09,387800,10409880413.0,4.61,3.34,8.32,0.99,248.95,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
