ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor
600519.SH,贵州茅台,食品饮料,2025-08-11,1371.52,1393.02,1400.01,1371.02,47159,6794034090.0,2.12,1.76,24.03,0.38,1368.99,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-12,1397.02,1385.06,1413.09,1384.02,42019,6095342036.0,2.09,-0.57,-7.96,0.33,1393.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-13,1373.02,1368.07,1381.7,1368.02,65528,9325460101.0,0.99,-1.23,-16.99,0.52,1385.06,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-14,1368.96,1375.01,1395.53,1368.96,48129,6897535330.0,1.94,0.51,6.94,0.38,1368.07,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-15,1374.03,1370.1,1376.68,1368.24,47582,6772436997.0,0.61,-0.36,-4.91,0.38,1375.01,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-18,1375.01,1376.52,1384.66,1371.12,47378,6773477871.0,0.99,0.47,6.42,0.38,1370.1,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-19,1381.52,1386.02,1394.68,1380.02,46372,6678541001.0,1.07,0.69,9.5,0.37,1376.52,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-20,1386.02,1398.02,1400.82,1378.04,45805,6623095725.0,1.64,0.87,12.0,0.36,1386.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-21,1401.47,1396.27,1403.01,1391.67,30891,4470441662.0,0.81,-0.13,-1.75,0.25,1398.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-22,1396.9,1411.97,1412.02,1392.79,44971,6544867368.0,1.38,1.12,15.7,0.36,1396.27,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-25,1418.03,1438.35,1444.02,1414.02,65325,9676719498.0,2.12,1.87,26.38,0.52,1411.97,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-26,1438.34,1429.63,1442.25,1428.03,39602,5883917000.0,0.99,-0.61,-8.72,0.32,1438.35,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-27,1429.9,1396.02,1432.95,1396.02,56006,8184169113.0,2.58,-2.35,-33.61,0.45,1429.63,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-28,1395.99,1394.12,1404.12,1386.79,39282,5683673273.0,1.24,-0.14,-1.9,0.31,1396.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-29,1401.02,1428.02,1430.6,1400.02,62256,9159701454.0,2.19,2.43,33.9,0.5,1394.12,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-01,1430.22,1424.12,1436.02,1413.72,45123,6658918555.0,1.56,-0.27,-3.9,0.36,1428.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-02,1426.68,1439.32,1457.02,1426.02,56688,8470012816.0,2.18,1.07,15.2,0.45,1424.12,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-03,1439.02,1428.57,1451.52,1414.02,45045,6656011145.0,2.61,-0.75,-10.75,0.36,1439.32,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-04,1420.02,1420.68,1427.32,1408.49,47747,7017084750.0,1.32,-0.55,-7.89,0.38,1428.57,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-05,1419.02,1431.02,1434.99,1412.02,37388,5519312163.0,1.62,0.73,10.34,0.3,1420.68,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-08,1431.02,1449.25,1454.46,1425.52,51383,7682065696.0,2.02,1.27,18.23,0.41,1431.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-09,1453.02,1453.02,1457.97,1441.44,35743,5366650005.0,1.14,0.26,3.77,0.29,1449.25,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-10,1454.68,1470.03,1477.97,1444.02,49663,7541460049.0,2.34,1.17,17.01,0.4,1453.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-11,1470.03,1471.52,1474.04,1456.52,37239,5642778456.0,1.19,0.1,1.49,0.3,1470.03,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-12,1474.02,1464.02,1486.04,1458.55,33722,5132184935.0,1.87,-0.51,-7.5,0.27,1471.52,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-15,1463.89,1463.12,1465.5,1449.52,25827,3901929718.0,1.09,-0.06,-0.9,0.21,1464.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-16,1463.12,1448.0,1469.01,1444.23,32718,4928374478.0,1.69,-1.03,-15.12,0.26,1463.12,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-17,1448.01,1441.02,1458.3,1438.03,30331,4534770634.0,1.4,-0.48,-6.98,0.24,1448.0,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-18,1440.02,1415.98,1445.82,1411.52,49721,7347477479.0,2.38,-1.74,-25.04,0.4,1441.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-19,1416.01,1415.99,1423.52,1405.03,32637,4784528851.0,1.31,0.0,0.01,0.26,1415.98,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-22,1413.11,1401.37,1415.99,1398.03,34947,5085057536.0,1.27,-1.03,-14.62,0.28,1415.99,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-23,1398.52,1395.44,1405.52,1388.02,38663,5588384388.0,1.25,-0.42,-5.93,0.31,1401.37,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-24,1382.09,1390.02,1404.8,1382.09,30744,4443052872.0,1.63,-0.39,-5.42,0.25,1395.44,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-25,1390.85,1387.02,1393.23,1384.02,33870,4873274661.0,0.66,-0.22,-3.0,0.27,1390.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
