ts_code,stock_name,industry,parameter,short_window,long_window,sample_period,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,benchmark_return,excess_return,buy_count,sell_count,holding_ratio,total_cost_rate
000858.SZ,五粮液,食品饮料,MA10/MA20,10,20,样本内,1214,3.026327650255049,0.33526042514861354,0.33964068291193167,1.0207509741444931,-0.3618219776971202,4.381234150464928,-1.3549065002098786,29,29,0.5164744645799012,0.058
000858.SZ,五粮液,食品饮料,MA10/MA20,10,20,样本外,609,-0.25657496922731704,-0.11545723845919387,0.18756909881135506,-0.560803053101039,-0.36237594284419894,-0.421222117499215,0.16464714827189797,17,17,0.36617405582922824,0.034
000858.SZ,五粮液,食品饮料,MA10/MA30,10,30,全样本,1823,0.7538600362534169,0.08075764816427267,0.29518978467594953,0.4104187958104949,-0.45921422865889827,2.1145393068470053,-1.3606792705935884,33,33,0.4684585847504114,0.066
000858.SZ,五粮液,食品饮料,MA10/MA30,10,30,样本内,1214,1.3963964019336226,0.19891425396934403,0.3396297240710788,0.7037407933590601,-0.44523237292939044,4.381234150464928,-2.984837748531305,23,23,0.5296540362438221,0.046
000858.SZ,五粮液,食品饮料,MA10/MA30,10,30,样本外,609,-0.26812607678836076,-0.12117042258460031,0.1751210330674651,-0.6498028962630167,-0.3840802739439634,-0.421222117499215,0.15309604071085425,10,10,0.3464696223316913,0.02
000858.SZ,五粮液,食品饮料,MA20/MA60,20,60,全样本,1823,1.0598145680692967,0.10504920607823709,0.2729374131000299,0.502329645405354,-0.4707607789330267,2.1145393068470053,-1.0547247387777086,14,14,0.4355458036204059,0.028000000000000004
000858.SZ,五粮液,食品饮料,MA20/MA60,20,60,样本内,1214,1.4993444681112735,0.2094280878549739,0.3169107878768346,0.7585777017429441,-0.4250201429418381,4.381234150464928,-2.881889682353654,10,10,0.49917627677100496,0.02
000858.SZ,五粮液,食品饮料,MA20/MA60,20,60,样本外,609,-0.1758580722464892,-0.07691390134300102,0.15038957774999495,-0.4575502137328057,-0.26289574740722077,-0.421222117499215,0.24536404525272582,4,4,0.30870279146141216,0.008
002594.SZ,比亚迪,新能源汽车,MA5/MA10,5,10,全样本,1823,1.7944422709694132,0.15263823080287664,0.3385957940456635,0.5865229746862315,-0.4141281784368055,5.67655786350147,-3.882115592532057,98,97,0.5002742731760834,0.195
002594.SZ,比亚迪,新能源汽车,MA5/MA10,5,10,样本内,1214,1.3881536967496824,0.19805707054561617,0.37431311538353196,0.6671300680082448,-0.4141281784368055,3.721068249258158,-2.3329145525084756,67,66,0.49835255354200986,0.133
