ts_code,trade_date,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,qfq_open,qfq_high,qfq_low,qfq_close,qfq_pre_close,qfq_change,qfq_pct_chg
688256.SH,2025-12-16,2025-12-16,1319.1,1332.0,1262.69,1273.92,1331.9,-57.98,-4.3532,73946.27,9503366.29,1.0,884.589592274678,893.2403433476394,846.7609978540772,854.2918454935623,893.1732832618026,-38.88143776824029,-4.353179668143248
688256.SH,2025-12-17,2025-12-17,1270.11,1320.0,1263.5,1315.6,1273.92,41.68,3.2718,63136.57,8165521.986,1.0,851.7368562231759,885.1931330472103,847.3041845493561,882.2424892703862,854.2918454935623,27.95064377682388,3.2717910072845835
688256.SH,2025-12-18,2025-12-18,1300.0,1309.77,1280.02,1287.0,1315.6,-28.6,-2.1739,38865.62,5022391.299,1.0,871.7811158798282,878.3328862660943,858.3825107296137,863.06330472103,882.2424892703862,-19.179184549356137,-2.1739130434782514
688256.SH,2025-12-19,2025-12-19,1300.0,1301.0,1264.0,1268.0,1287.0,-19.0,-1.4763,43265.54,5527000.531,1.0,871.7811158798282,872.4517167381974,847.6394849785407,850.3218884120171,863.06330472103,-12.741416309012948,-1.4763014763014848
688256.SH,2025-12-22,2025-12-22,1275.01,1297.65,1258.0,1284.77,1268.0,16.77,1.3226,64766.94,8285582.166,1.0,855.0228004291845,870.2052038626609,843.6158798283261,861.5678648068669,850.3218884120171,11.245976394849777,1.3225552050473177
688256.SH,2025-12-23,2025-12-23,1278.2,1350.0,1275.1,1336.02,1284.77,51.25,3.989,91435.03,12143932.52,1.0,857.1620171673819,905.3111587982833,855.0831545064376,895.9361587982831,861.5678648068669,34.368293991416294,3.9890408399947055
688256.SH,2025-12-24,2025-12-24,1335.0,1345.0,1300.99,1326.2,1336.02,-9.82,-0.735,59286.62,7830827.375,1.0,895.2521459227468,901.9581545064377,872.4450107296137,889.3508583690987,895.9361587982831,-6.585300429184485,-0.7350189368422558
688256.SH,2025-12-25,2025-12-25,1315.0,1333.99,1310.0,1319.41,1326.2,-6.79,-0.512,40510.27,5343991.086,1.0,881.8401287553647,894.574839055794,878.4871244635193,884.7974785407725,889.3508583690987,-4.553379828326115,-0.511989141909207
688256.SH,2025-12-26,2025-12-26,1302.0,1334.15,1290.1,1303.89,1319.41,-15.52,-1.1763,47847.97,6276085.535,1.0,873.1223175965665,894.682135193133,865.1421673819741,874.3897532188842,884.7974785407725,-10.407725321888393,-1.1762833387650518
688256.SH,2025-12-29,2025-12-29,1309.97,1398.0,1308.0,1358.5,1303.89,54.61,4.1882,98352.62,13413872.87,1.0,878.4670064377682,937.5,877.145922746781,911.0112660944205,874.3897532188842,36.62151287553638,4.18823673776161
