trade_date,portfolio_value,strategy_return,strategy_nav,benchmark_return,benchmark_nav,exposure,cash_ratio,turnover,transaction_cost,holding_count
2020-02-14,1437224.6955485505,-0.02104725851536371,1.4372246955485504,0.003769747180896865,2.7434354872503737,0.6302313081631862,0.36976869183681377,0.0,0.0,2
2020-02-17,1448859.4187549504,0.008095270866438353,1.4488594187549504,0.024606746863769624,2.810942509822226,0.34245558511561747,0.6575444148843826,0.2933333899046954,337.2687936,1
2020-02-18,1458693.4187549506,0.00678740799328259,1.4586934187549507,0.006331651154980478,2.8287404172111255,0.34688851920089786,0.6531114807991021,0.0,0.0,1
2020-02-19,1482831.4187549506,0.016547685544919144,1.4828314187549507,-9.33001115722698e-05,2.8284764954145905,0.3575200749692303,0.6424799250307697,0.0,0.0,1
2020-02-20,1544517.4187549506,0.04160014363048381,1.5445174187549506,0.03336016931653699,2.9228349502094666,0.38317988053322044,0.6168201194667795,0.0,0.0,1
2020-02-21,1538557.4187549506,-0.0038588104786829724,1.5385574187549507,0.0009963858500791844,2.925747221595972,0.3807904683038108,0.6192095316961891,0.0,0.0,1
2020-02-24,1525445.4187549506,-0.008522268873533911,1.5254454187549507,0.00453517692388985,2.9390160028804893,0.37546803901215703,0.6245319609878429,0.0,0.0,1
2020-02-25,1571635.4187549506,0.03027968056549657,1.5716354187549506,0.008591137641351143,2.9642654938913693,0.39382288831994444,0.6061771116800555,0.0,0.0,1
2020-02-26,1580277.4187549506,0.005498730746884117,1.5802774187549506,-0.023876909719440696,2.8934879943092717,0.3971378648784694,0.6028621351215305,0.0,0.0,1
2020-02-27,1563887.4187549506,-0.010371596661118643,1.5638874187549507,0.006037195281135577,2.910956546374538,0.3908196924345039,0.609180307565496,0.0,0.0,1
2020-02-28,1517399.4187549506,-0.029725924924321134,1.5173994187549507,-0.06180129295411092,2.731055668075358,0.37215646257684293,0.627843537423157,0.0,0.0,1
2020-03-02,1484057.2930877507,-0.021973203136295916,1.4840572930877507,0.035138296823237804,2.8270203127809763,0.7916419436581232,0.20835805634187685,1.1698415473603583,815.6496671999998,2
2020-03-03,1515511.2930877507,0.021194599525572455,1.5155112930877506,0.007432718350776168,2.8480327585378,0.7959663550525278,0.20403364494747234,0.0,0.0,2
2020-03-04,1463402.7930877507,-0.034383445532650936,1.4634027930877507,-0.006364262310486169,2.829907130993608,0.788701173355483,0.21129882664451713,0.0,0.0,2
2020-03-05,1480719.620297751,0.011833261007696994,1.4807196202977508,0.031515523531087705,2.91909313577123,0.4332839189846011,0.5667160810153988,0.3624132843022379,424.28529000000003,1
2020-03-06,1470661.620297751,-0.006792643159531764,1.470661620297751,-0.02475039154197134,2.8468444377134112,0.4294080917622256,0.5705919082377743,0.0,0.0,1
2020-03-09,1410741.620297751,-0.040743566822576516,1.410741620297751,-0.06641192615221801,2.6577800151491355,0.405172706168093,0.5948272938319069,0.0,0.0,1
2020-03-10,1410674.4757433508,-4.759521760333563e-05,1.4106744757433507,0.04345857585189126,2.773283349535135,0.0,1.0,0.4054494705269112,457.58755439999993,0
2020-03-11,1410674.4757433508,0.0,1.4106744757433507,-0.02232521666384384,2.7113691978865324,0.0,1.0,0.0,0.0,0
2020-03-12,1410674.4757433508,0.0,1.4106744757433507,-0.019221389049403414,2.6592529156773863,0.0,1.0,0.0,0.0,0
2020-03-13,1410674.4757433508,0.0,1.4106744757433507,-0.011039065037314954,2.629897249790554,0.0,1.0,0.0,0.0,0
2020-03-16,1410674.4757433508,0.0,1.4106744757433507,-0.06848688554646896,2.449783777845175,0.0,1.0,0.0,0.0,0
2020-03-17,1410674.4757433508,0.0,1.4106744757433507,0.005313685366859722,2.4628011580574816,0.0,1.0,0.0,0.0,0
2020-03-18,1410674.4757433508,0.0,1.4106744757433507,-0.03486526366484577,2.37693494632772,0.0,1.0,0.0,0.0,0
2020-03-19,1410674.4757433508,0.0,1.4106744757433507,-0.016812179448805097,2.3369734894719225,0.0,1.0,0.0,0.0,0
2020-03-20,1410674.4757433508,0.0,1.4106744757433507,0.04152315931751034,2.434012011996063,0.0,1.0,0.0,0.0,0
2020-03-23,1410674.4757433508,0.0,1.4106744757433507,-0.05868349753682027,2.291175674085501,0.0,1.0,0.0,0.0,0
2020-03-24,1410674.4757433508,0.0,1.4106744757433507,0.035975584096909964,2.3736020572293586,0.0,1.0,0.0,0.0,0
2020-03-25,1410674.4757433508,0.0,1.4106744757433507,0.043109968764664906,2.475927967776261,0.0,1.0,0.0,0.0,0
2020-03-26,1410674.4757433508,0.0,1.4106744757433507,-0.004633803054972796,2.4644550051952865,0.0,1.0,0.0,0.0,0
2020-03-27,1410674.4757433508,0.0,1.4106744757433507,0.0061566726810319715,2.479627847999405,0.0,1.0,0.0,0.0,0
2020-03-30,1410674.4757433508,0.0,1.4106744757433507,-0.01012129539283103,2.454530802085513,0.0,1.0,0.0,0.0,0
2020-03-31,1410674.4757433508,0.0,1.4106744757433507,0.0059887354462030305,2.4692303377037597,0.0,1.0,0.0,0.0,0
2020-04-01,1374773.918579151,-0.025449214387523567,1.374773918579151,-0.0027927079031379474,2.4623344986249864,0.893933164858222,0.10606683514177791,0.8963635734131274,379.34316419999993,3
2020-04-02,1423820.918579151,0.035676411471851965,1.4238209185791508,0.02926367736148632,2.534391460948805,0.8975868968657488,0.10241310313425116,0.0,0.0,3
2020-04-03,1388581.918579151,-0.02474960125966219,1.388581918579151,-0.012655030793679056,2.502318658967261,0.8949878889908366,0.10501211100916334,0.0,0.0,3
2020-04-07,1424437.918579151,0.02582202714888382,1.424437918579151,0.044647846813166955,2.6140417991305607,0.8976312574404075,0.10236874255959244,0.0,0.0,3
2020-04-08,1406158.918579151,-0.0128324300845859,1.406158918579151,-0.0009009408819722675,2.6116867020065397,0.896300541387959,0.10369945861204087,0.0,0.0,3
2020-04-09,1395212.918579151,-0.007784326405339992,1.3952129185791509,-0.005648156115794056,2.5969354877880635,0.8954869779104051,0.10451302208959479,0.0,0.0,3
2020-04-10,1345449.918579151,-0.0356669575928793,1.3454499185791509,-0.013508377470723953,2.5618551029519034,0.8916214445699023,0.1083785554300976,0.0,0.0,3
2020-04-13,1330176.918579151,-0.011351593090977996,1.330176918579151,-0.004440286877022382,2.5504797313574334,0.8903770494417325,0.10962295055826744,0.0,0.0,3
2020-04-14,1369386.249548751,0.02947677893214551,1.369386249548751,0.04164294548952683,2.656689219782494,0.3353575371092924,0.6646424628907075,0.5750710881505064,611.9570304,1
2020-04-15,1390032.249548751,0.01507682730625004,1.390032249548751,0.0019192123867937116,2.6617879706409617,0.34522940036519617,0.6547705996348038,0.0,0.0,1
2020-04-16,1388916.249548751,-0.0008028590706167238,1.388916249548751,0.006037801079833938,2.6778593169243865,0.3447032894571916,0.6552967105428084,0.0,0.0,1
2020-04-17,1377756.249548751,-0.00803504171228886,1.377756249548751,0.032575146375298326,2.765090976145655,0.33939530316277056,0.6606046968372294,0.0,0.0,1
2020-04-20,1378314.249548751,0.0004050063283564942,1.378314249548751,0.002029855919555923,2.7707037124316947,0.33966274393032836,0.6603372560696716,0.0,0.0,1
2020-04-21,1383057.249548751,0.0034411600994133096,1.383057249548751,-0.012449951850013042,2.736208584621268,0.3419272775254201,0.6580727224745798,0.0,0.0,1
2020-04-22,1383615.2495487507,0.00040345401477903664,1.3836152495487506,0.011915403430008641,2.768811613775683,0.3421926725326381,0.6578073274673619,0.0,0.0,1
2020-04-23,1372455.249548751,-0.00806582610566009,1.372455249548751,-0.012037985343932111,2.7354807001489423,0.336843769698138,0.6631562303018619,0.0,0.0,1
2020-04-24,1376919.249548751,0.003252565066487856,1.376919249548751,-0.0019333588398361633,2.7301920343561084,0.3389937355825119,0.661006264417488,0.0,0.0,1
2020-04-27,1360737.2495487507,-0.011752323170224677,1.3607372495487506,0.01197321639434018,2.762881214381558,0.33113299437450067,0.6688670056254994,0.0,0.0,1
2020-04-28,1360737.2495487507,0.0,1.3607372495487506,0.023708601577297282,2.82838526429873,0.33113299437450067,0.6688670056254994,0.0,0.0,1
2020-04-29,1370223.2495487507,0.006971220934200106,1.3702232495487507,0.0053714676598273,2.8435778442754427,0.335763533534782,0.6642364664652181,0.0,0.0,1
2020-04-30,1388358.249548751,0.013235069545034062,1.388358249548751,0.028881663882173513,2.9257051037966018,0.344439916826531,0.6555600831734689,0.0,0.0,1
2020-05-06,1435959.2209830408,0.03428579867607029,1.4359592209830407,0.029814286534096346,3.012932914075462,0.8816815140009834,0.11831848599901672,1.2136143724054236,741.83486571,3
2020-05-07,1445016.2209830408,0.0063072821760215,1.4450162209830408,-0.004920677913792693,2.998107241629432,0.8824231046572903,0.1175768953427097,0.0,0.0,3
2020-05-08,1459323.2209830408,0.009900926918499975,1.4593232209830407,0.006958888859354207,3.018970736712356,0.8835758120338885,0.11642418796611154,0.0,0.0,3
2020-05-11,1497639.2209830408,0.02625600651662996,1.4976392209830407,-0.00028241463928604384,3.0181181351807322,0.8865544394119705,0.1134455605880295,0.0,0.0,3
2020-05-12,1511514.2209830408,0.009264581085752122,1.5115142209830408,0.010621004101012188,3.050173580271826,0.8875958170790197,0.11240418292098037,0.0,0.0,3
2020-05-13,1506764.2209830408,-0.003142544035682815,1.5067642209830407,-0.00019377143738315007,3.0495825437529085,0.8872414684281562,0.11275853157184382,0.0,0.0,3
2020-05-14,1486571.2209830408,-0.013401565897832146,1.4865712209830408,-0.011402463154078668,3.0148097911624445,0.8857098007919938,0.11429019920800629,0.0,0.0,3
2020-05-15,1455278.2209830408,-0.02105045460203825,1.4552782209830408,0.013677247554215243,3.0560440910050453,0.8832522066685826,0.11674779333141742,0.0,0.0,3
2020-05-18,1483268.2209830408,0.01923343563892055,1.4832682209830408,0.005547380408969837,3.0729971301244348,0.8854552948822441,0.11454470511775594,0.0,0.0,3
