trade_date,symbol,shares,close,market_value,weight
2025-08-27,600031.SH,16000,20.992,335872.0,0.22997525761679538
2025-08-27,000425.SZ,44000,8.991,395604.0,0.2708744158912762
2025-08-28,600584.SH,15400,40.05,616770.0,0.41070846440700864
2025-08-28,600031.SH,16000,20.922,334752.0,0.2229120739938307
2025-08-28,000425.SZ,44000,9.401,413644.0,0.275446425817035
2025-08-29,600584.SH,15400,39.77,612458.0,0.41037082424091514
2025-08-29,600031.SH,16000,20.722,331552.0,0.22215281295815206
2025-08-29,000425.SZ,44000,9.361,411884.0,0.27597839618658765
2025-09-01,300750.SZ,1200,297.09,356507.99999999994,0.23260404540640078
2025-09-01,600584.SH,11200,41.02,459424.00000000006,0.2997517053103726
2025-09-01,000425.SZ,57900,9.691,561108.9,0.3660961326352722
2025-09-02,300750.SZ,1200,295.96,355152.0,0.23769455621692606
2025-09-02,600584.SH,11200,38.89,435568.0,0.2915150202231553
2025-09-02,000425.SZ,57900,9.461,547791.9,0.36662373454106056
2025-09-03,300750.SZ,1200,302.09,362507.99999999994,0.23859178319187088
2025-09-03,000425.SZ,57900,9.781,566319.9,0.37273460116202134
2025-09-04,300750.SZ,1200,297.12,356544.0,0.23649602226854424
2025-09-04,000425.SZ,57900,9.681,560529.8999999999,0.3718000911881419
2025-09-05,300750.SZ,1200,318.2,381840.0,0.24928366519485923
2025-09-05,000425.SZ,57900,9.661,559371.9,0.365185097001394
2025-09-08,300750.SZ,1200,318.46,382152.0,0.2486846786357705
2025-09-08,000425.SZ,57900,9.741,564003.9,0.36702445262832917
2025-09-09,300750.SZ,1200,313.09,375707.99999999994,0.24422711583451295
2025-09-09,000425.SZ,57900,9.881,572109.9,0.3718971936114526
2025-09-10,300750.SZ,1200,309.13,370956.0,0.24381837568231432
2025-09-10,000425.SZ,57900,9.671,559950.8999999999,0.36803911757688246
2025-09-11,300750.SZ,1200,315.64,378768.0,0.24777504001763365
2025-09-11,000425.SZ,57900,9.661,559371.9,0.3659189659824478
2025-09-12,300750.SZ,1200,318.09,381707.99999999994,0.2507355422211367
2025-09-12,000425.SZ,57900,9.501,550107.9,0.36135371170274366
2025-09-15,300750.SZ,1200,347.79,417348.0,0.2672794271225349
2025-09-15,000425.SZ,57900,9.561,553581.9,0.35452680520190444
2025-09-16,300750.SZ,1200,346.51,415812.0,0.26645904557784833
2025-09-16,000425.SZ,57900,9.571,554160.9,0.3551152552368894
2025-09-17,300750.SZ,1200,370.19,444228.0,0.27695358135392556
2025-09-17,000425.SZ,57900,9.831,569214.9,0.35487656139418633
2025-09-18,300750.SZ,1200,359.98,431976.0,0.2723788731530116
2025-09-18,000425.SZ,57900,9.731,563424.9,0.35526288351285323
2025-09-19,300750.SZ,1200,361.58,433896.0,0.2675036514585411
2025-09-19,000425.SZ,57900,10.321,597585.9,0.3684210278733581
2025-09-22,300750.SZ,1200,363.14,435768.0,0.27027540300188696
2025-09-22,000425.SZ,57900,10.121,586005.9,0.3634571165941131
2025-09-23,300750.SZ,1200,361.24,433488.0,0.26904851340554387
2025-09-23,000425.SZ,57900,10.141,587163.9,0.3644289447929387
2025-09-24,300750.SZ,1200,373.02,447624.0,0.27345753440282167
2025-09-24,000425.SZ,57900,10.341,598743.8999999999,0.36577804280541165
2025-09-25,300750.SZ,1200,385.94,463128.0,0.2820533935529785
2025-09-25,000425.SZ,57900,10.161,588321.9,0.35829876059434124
2025-09-26,300750.SZ,1200,373.49,448188.0,0.2740954548987985
2025-09-26,000425.SZ,57900,10.301,596427.9,0.364753577884359
2025-09-29,300750.SZ,1200,390.46,468552.0,0.27816039461959613
2025-09-29,000425.SZ,57900,10.801,625377.9,0.3712615962590584
2025-09-30,300750.SZ,1200,395.09,474107.99999999994,0.27580887273835436
2025-09-30,000425.SZ,57900,11.301,654327.9,0.3806504857548379
2025-10-09,300750.SZ,1100,402.98,443278.0,0.25765646908414747
2025-10-09,002371.SZ,1000,457.288,457288.0,0.26579981734837194
2025-10-09,000425.SZ,56000,11.171,625576.0,0.36361764694793025
2025-10-10,300750.SZ,1100,375.04,412544.0,0.24860156921726442
2025-10-10,002371.SZ,1000,437.138,437138.0,0.2634220659238688
2025-10-10,000425.SZ,56000,10.991,615496.0,0.37090170126568167
2025-10-13,002371.SZ,1000,435.038,435038.0,0.26434266623483893
2025-10-13,000425.SZ,56000,11.171,625576.0,0.38011950168152114
2025-10-14,000425.SZ,56000,11.191,626696.0,0.3794908357209422
2025-10-15,000425.SZ,56000,11.491,643496.0,0.385739771317392
2025-10-16,000425.SZ,56000,11.551,646856.0,0.3869744853813763
