industry,parameter,sample_period,stock_count,median_cumulative_return,median_sharpe_ratio,median_max_drawdown,positive_return_share,median_completed_trades,median_average_exposure
新能源汽车,E20/X10/ATR20/S2,in_sample,2,0.20036838074759278,0.7121393281909526,-0.06655713866012125,1.0,16.0,0.04948929304024689
新能源汽车,E20/X10/ATR20/S2,out_of_sample,2,0.04499200786594526,0.2993132584402686,-0.06671274168690722,1.0,11.0,0.06425129728365919
新能源汽车,E20/X10/ATR20/S3,full,2,0.18810075523975456,0.6005434912660563,-0.05558053316353989,1.0,26.0,0.03883211851649842
新能源汽车,E20/X10/ATR20/S3,in_sample,2,0.16174087393689784,0.777145624252311,-0.052131709075749766,1.0,15.0,0.035389868933034294
新能源汽车,E20/X10/ATR20/S3,out_of_sample,2,0.022120155652930074,0.19573609983012621,-0.05012859848168433,0.5,11.0,0.045694008490760246
新能源汽车,E40/X20/ATR20/S2,full,2,0.3768226673364323,0.698614101466597,-0.08279056439698496,1.0,15.0,0.061241095257452936
新能源汽车,E40/X20/ATR20/S2,in_sample,2,0.3088505483117465,0.8292200840861854,-0.08279056439698496,1.0,10.0,0.0576653108671621
新能源汽车,E40/X20/ATR20/S2,out_of_sample,2,0.05284861511558925,0.390313029568538,-0.06351449642269746,1.0,5.0,0.06836917776946128
新能源汽车,E55/X20/ATR20/S2,full,2,0.32075637020708125,0.6381689639283463,-0.07786214413509274,1.0,13.5,0.0543289213556198
新能源汽车,E55/X20/ATR20/S2,in_sample,2,0.26301320814093876,0.7625755343968579,-0.07786214413509274,1.0,9.0,0.048806017097440056
新能源汽车,E55/X20/ATR20/S2,out_of_sample,2,0.04644765239295523,0.31648061755253276,-0.059332915560308064,1.0,4.5,0.06533845463875641
银行,E10/X5/ATR14/S1.5,full,2,-0.012084285713084342,-0.003178091273794592,-0.12943138074900956,0.5,53.0,0.10233949224913699
